start_with,name,meaning,lenth
L,Leo,希腊语起源，意为狮子，也有德国、意大利、非裔美国人和西班牙语的类似含义。,3
L,Liam,意志的头盔或守护者，源自爱尔兰名字Ulliam。,4
N,Noah,来自巴比伦语nukhu，意为安息或休息。,4
L,Levi,希伯来语起源，意为联合或团结。,4
J,Jack,英语起源，意为上帝是仁慈的。,4
E,Ezra,希伯来语起源，意为帮助。,4
O,Owen,威尔士语起源，意为年轻战士或出身高贵，源自Owain。,4
L,Luca,拉丁语起源，意为光明的使者，是Luke或Lucas的意大利变体。,4
J,John,希伯来语起源，意为上帝是仁慈的，源自希伯来名字Yochanan。,4
L,Luke,希腊语名字Loukas，意为来自卢卡尼亚的人，也有光明的含义。,4
J,James,现代希伯来名字Jacob的拉丁形式Iacobus的后代。,5
M,Mateo,Mateo是Matthew的拉丁化版本，源自希伯来名字Mattiyahu，意为上帝的礼物。,5
H,Henry,由日耳曼语构成，haim/heim家+rīc权力统治者，由诺曼人引入英格兰。,5
L,Lucas,拉丁名字，源自希腊名字Loukas，意为来自卢卡尼亚的人。,5
A,Asher,地形名字，源自中古英语asche白蜡树+居住地后缀-er。,5
E,Ethan,希伯来语起源，意为坚固、强大、持久、长寿，在古代文献中有深厚根基。,5
D,David,希伯来语名字David亲爱的，因圣经中的同名国王而广受欢迎。,5
M,Mason,英语名字，意为石匠或砖瓦匠，最初是石匠行业的职业姓氏。,5
D,Dylan,威尔士语起源，意为海之子，源自威尔士词dy和llanw，意为海。,5
E,Elias,最初是中世纪个人名字，基于新约希腊语形式的希伯来名字Eliyahu，意为耶和华是上帝。,5
J,Jacob,拉丁语名字Jacobus，源自希伯来名字yaaqobh（Yaakov），意为篡夺者。,5
L,Logan,苏格兰语和盖尔语名字，意为小山谷。,5
A,Aiden,来自盖尔语和爱尔兰语，意为温暖或小火。,5
I,Isaac,希伯来语名字，意为笑声，与圣经中撒拉和亚伯拉罕在老年得子的故事有关。,5
M,Miles,德语和爱尔兰语起源，意为士兵或仆人，也有英语起源，意为仁慈的。,5
W,Wyatt,古英语名字，意为勇敢的。,5
C,Caleb,希伯来语名字，意为对上帝的奉献。,5
N,Nolan,爱尔兰语起源，意为冠军，最初是爱尔兰姓氏。,5
O,Oliver,最初源自拉丁语olivarius，意为橄榄树种植者，也有古法语和中世纪起源。,6
E,Elijah,来自《钦定版圣经》（旧约）中希伯来名字Eliyahu的英文音译，意为耶和华是上帝。,6
D,Daniel,希伯来语名字Daniel上帝是我的审判者，圣经中的大先知。,6
S,Samuel,希伯来语名字Shemuel起源，意为上帝的名字，源自圣经。,6
H,Hudson,英语起源，意为休的儿子或赫德的儿子。,6
J,Joseph,拉丁语形式的希腊名字Ioseph，源自希伯来名字Yosef，意为他将增添。,6
J,Julian,希腊语和拉丁语起源，意为年轻的、多毛的或天空之父。,6
T,Thomas,希腊语和阿拉姆语起源，意为双胞胎，源自阿拉姆语t'oma。,6
C,Carter,与盖尔语cairt马车有关，最终源自拉丁语carrarius。,6
J,Jayden,非传统名字，被认为源自旧约的Jadon，意为感恩的。,6
C,Cooper,古英语名字，意为桶匠，最初是职业姓氏。,6
J,Josiah,希伯来语名字，意为上帝支持或耶和华治愈，源自希伯来名字Yoshiyahu。,6
I,Isaiah,希伯来语名字，意为主的救赎，源自希伯来名字Yesha'yahu。,6
W,William,日耳曼语起源，由征服者威廉引入英格兰，是历史上最受欢迎的男孩名字之一。,7
M,Michael,希伯来语Micha-el起源，意为谁像上帝？。,7
J,Jackson,杰克的姓氏形式，作为美国姓氏吸收了其他以J-开头的欧洲语言的姓氏。,7
M,Matthew,中古英语Ma(t)thew，源自希腊语名字Matthias和希伯来名字Matityahu，意为上帝的礼物。,7
G,Gabriel,希伯来语名字，意为上帝是我的力量。,7
G,Grayson,英语起源，意为发光和警官之子。,7
A,Anthony,拉丁语起源，意为无价之宝，源自罗马家族姓氏Antonius。,7
E,Ezekiel,希伯来语名字，意为上帝加强，源自希伯来名字Yechezqel。,7
C,Charles,日耳曼语起源，意为自由人，是Karl的英语和法语形式。,7
T,Theodore,希腊语起源，意为上帝的礼物。,8
B,Benjamin,来自希伯来名字Binyamin，意为南方之子或右手之子。,8
M,Maverick,美语起源，意为独立的、非传统的，源自19世纪得克萨斯州牧场主Samuel Maverick的姓氏。,8
S,Santiago,希伯来语和西班牙语起源，意为篡夺者，也有拉丁语起源，意为圣詹姆斯。,8
S,Sebastian,最初是地名，意为来自塞巴斯提亚的人，塞巴斯提亚是希腊语受尊敬的。,9
A,Alexander,古希腊语Alexandros，意为击退敌人，源自alexein击退+andros男人。,9
C,Christopher,希腊语名字，意为基督的承载者，源自希腊名字Christophoros。,11
